,Unnamed: 0,Answer ID,Which of the following options do you identify with most?,Select the center where you study:,"The subjects you are currently taking, for the most part, correspond to which year?",How many days per week do you usually come to the university?,Please indicate the postal code from where you usually start your trip to the university:,"Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 1]","Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 2]","Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 3]",Do you take the same route for coming and going?,"Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 1]","Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 2]","Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 3]",Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the fastest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the cheapest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the most comfortable],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the only option],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It has a lower environmental impact],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the healthiest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [I need the private vehicle for other trips],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [Other],MitjaPersones
452,452,1013,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8225.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,1,DATATHON,2.0
453,453,1014,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,3,8018.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
457,457,1021,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,2,8207.0,Taxi,Taxi,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
458,458,1022,Man,Polytechnic School of Engineering of Manresa (EPSEM),Third,5,8784.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
459,459,1023,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Fourth,5,43700.0,Electric vehicle (with Zero label and renewable source charging),DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
472,472,1044,Man,School of Engineering of Barcelona East (EEBE),First,5,8225.0,Bus,FGC,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,1.3333333333333333
475,475,1051,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,3,8204.0,DATATHON,DATATHON,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
479,479,1056,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,6,8600.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
484,484,1065,Man,Barcelona School of Informatics (FIB),Second,3,8032.0,Scooter (or other micro-mobility devices) with non-renewable charging,Scooter (or other micro-mobility devices) with non-renewable charging,Scooter (or other micro-mobility devices) with non-renewable charging,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,1,0,0,DATATHON,2.0
489,489,1074,Man,School of Architecture of Vallès (ETSAV),Fourth,3,8757.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
492,492,1080,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,3,8571.0,Electric vehicle (with Zero label and renewable source charging),Electric vehicle (with Zero label and renewable source charging),Electric vehicle (with Zero label and renewable source charging),Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,1,0,0,DATATHON,2.0
500,500,1098,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8022.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
507,507,1109,Man,School of Engineering of Barcelona East (EEBE),Fourth,5,8304.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
511,511,1119,Man,Barcelona School of Informatics (FIB),First,1,8028.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
513,513,1125,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8253.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,0,0,0,DATATHON,2.0
519,519,1140,Woman,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,2,8042.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Underground,Bus,No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Underground,DATATHON,1,0,0,0,0,0,0,DATATHON,1.4166666666666665
524,524,1151,Woman,School of Architecture of Vallès (ETSAV),First,2,8002.0,Underground,Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,1.3333333333333333
526,526,1154,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Fourth,4,8860.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
530,530,1160,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,2,8030.0,Combustion or electric motorcycle with non-renewable source charging,On foot,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,1.3333333333333333
532,532,1164,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,3,8786.0,Renfe,Underground,Scooter (or other micro-mobility devices) with renewable charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,1.3333333333333333
537,537,1171,Man,School of Engineering of Barcelona East (EEBE),Second,3,8720.0,Bus,Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,DATATHON,0,1,0,0,1,0,0,DATATHON,1.4166666666666665
544,544,1188,Woman,School of Engineering of Barcelona East (EEBE),First,3,8016.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
553,553,1200,Woman,School of Engineering of Barcelona East (EEBE),Fourth,4,8980.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
557,557,1205,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8017.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
559,559,1210,Man,Higher Technical School of Architecture of Barcelona (ETSAB),Second,5,8860.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
568,568,1228,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Fourth,5,8860.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
570,570,1232,Woman,Barcelona School of Informatics (FIB),First,2,8640.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",FGC,Underground,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,0,DATATHON,1.3333333333333333
572,572,1234,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Third,4,43580.0,Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Bus,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,1.3333333333333333
582,582,1255,NR/DK,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",First,5,8459.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Underground,Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,1,0,0,DATATHON,1.3333333333333333
590,590,1265,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,5,8201.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Electric vehicle (with Zero label and renewable source charging),DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,The safest (days when I leave or return at limited hours (morning 7:00/night)),2.0
592,592,1273,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",First,2,8015.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
597,597,1280,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,4,8830.0,On foot,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,"During the pandemic, I always used the car, before I would go by car to the station and then take Renfe",1.3333333333333333
599,599,1282,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8021.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
609,609,1301,Woman,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Fourth,5,8173.0,FGC,FGC,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,0,0,0,"I am from Sant Cugat, I work in Lliça de Vall and study in Barcelona and to go to work I can only get there by car. On the other hand, I have 25’ by car to the uni or an hour and a half 🤷🏽‍♀️",1.3333333333333333
614,614,1307,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,3,8415.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
618,618,1313,Man,School of Engineering of Barcelona East (EEBE),Third,5,8004.0,DATATHON,DATATHON,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
621,621,1318,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8042.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
622,622,1319,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,4,8830.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
633,633,1339,Man,School of Engineering of Barcelona East (EEBE),First,5,8302.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Tram,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,1.3333333333333333
642,642,1353,Man,School of Engineering of Barcelona East (EEBE),First,4,8970.0,Scooter (or other micro-mobility devices) with non-renewable charging,Underground,Scooter (or other micro-mobility devices) with non-renewable charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.6666666666666667
645,645,1357,Man,Barcelona School of Informatics (FIB),Fourth,5,8960.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
655,655,1377,Man,Higher Technical School of Architecture of Barcelona (ETSAB),Fourth,2,8021.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
657,657,1384,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,4,8700.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
668,668,1400,Woman,School of Architecture of Vallès (ETSAV),First,5,8280.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Bus,FGC,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,1.3333333333333333
669,669,1401,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Third,3,8798.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
679,679,1416,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8950.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
681,681,1421,Man,Barcelona School of Informatics (FIB),Second,5,8290.0,Combustion or electric motorcycle with non-renewable source charging,FGC,Bus,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.3333333333333333
682,682,1422,Man,School of Engineering of Barcelona East (EEBE),First,5,8310.0,Taxi,Renfe,Tram,No,Tram,Renfe,Bus,1,0,1,0,0,0,0,DATATHON,1.1666666666666665
685,685,1428,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Fourth,1,8348.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
688,688,1432,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,2,8191.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,0,0,1,DATATHON,2.0
690,690,1434,Man,Barcelona School of Informatics (FIB),Third,3,8025.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
705,705,1454,Woman,School of Architecture of Vallès (ETSAV),Fourth,5,8187.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
706,706,1455,Woman,School of Architecture of Vallès (ETSAV),Fourth,4,DATATHON,Electric vehicle (with Zero label and renewable source charging),Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
710,710,1459,Woman,School of Architecture of Vallès (ETSAV),Fourth,4,8173.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
717,717,1473,Woman,School of Architecture of Vallès (ETSAV),First,3,8301.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
720,720,1481,Man,School of Architecture of Vallès (ETSAV),Fourth,4,8221.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
726,726,1497,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8041.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
734,734,1513,Woman,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Fourth,5,8914.0,Underground,Underground,Underground,No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,1.5
737,737,1525,Man,School of Engineering of Barcelona East (EEBE),Third,4,8014.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
740,740,1536,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Third,5,8755.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,The combination of public transport is complicated,2.0
747,747,1558,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,4,8020.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
750,750,1564,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,3,43881.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
756,756,1578,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,4,8025.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Bus,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,1.6666666666666667
767,767,1601,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,4,8007.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",1,0,0,0,0,0,1,DATATHON,2.0
768,768,1602,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),First,5,8024.0,Scooter (or other micro-mobility devices) with renewable charging,FGC,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,1.5
775,775,1621,Man,School of Engineering of Barcelona East (EEBE),Fourth,4,8940.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
777,777,1629,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,5,8224.0,Scooter (or other micro-mobility devices) with renewable charging,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,No,DATATHON,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,1,0,0,0,0,0,0,DATATHON,1.6666666666666665
778,778,1635,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,7,8225.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
785,785,1648,Woman,Barcelona School of Informatics (FIB),First,1,17411.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
794,794,1664,Woman,School of Engineering of Barcelona East (EEBE),Second,4,8930.0,Bus,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Tram,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,1.3333333333333333
799,799,1676,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),First,5,8840.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.3333333333333333
800,800,1677,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,5,8902.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
801,801,1678,Man,Faculty of Mathematics and Statistics (FME),First,5,8860.0,Underground,Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,1.3333333333333333
803,803,1685,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8029.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
815,815,1709,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,4,8206.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
819,819,1717,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8242.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.3333333333333333
822,822,1726,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,4,8950.0,Scooter (or other micro-mobility devices) with renewable charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,1,0,0,DATATHON,2.0
830,830,1740,Man,Polytechnic School of Engineering of Manresa (EPSEM),Third,5,8786.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
837,837,1749,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,2,8720.0,Electric vehicle (with Zero label and renewable source charging),DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
842,842,1754,Man,School of Engineering of Barcelona East (EEBE),First,5,8348.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
